Rep,GenotypeID,PI,Anthesis,AnthesisGDD,Silking,SilkingGDD,ASI_NEW,ASIGDD_NEW,Env
1,911,GetFrom2021file,64,1300.5,66,1350.5,-2,-50,NE2020
2,911,GetFrom2021file,65,1325.5,67,1373.5,-2,-48,NE2020
1,911,PI 557556,62,1261,65,1334.5,-3,-73.5,NE2021
2,911,MN20_1111,61,1239,64,1313,-3,-74,NE2021
1,912,PI557557,56,1148.3,58,1198.25,-2,-49.95,MI2020
2,912,PI557557,56,1148.3,58,1198.25,-2,-49.95,MI2020
1,912,PI557557,75,1458.25,76,1481.75,-1,-23.5,MI2021
2,912,PI557557,74,1433.9,77,1509.25,-3,-75.3499999999999,MI2021
1,912,GetFrom2021file,66,1350.5,65,1325.5,1,25,NE2020
2,912,GetFrom2021file,66,1350.5,67,1373.5,-1,-23,NE2020
1,912,PI 557557,62,1261,62,1261,0,0,NE2021
2,912,MN20_1104,61,1239,63,1288.5,-2,-49.5,NE2021
1,1538,PI601658,59,1221.7,57,1172.3,2,49.4000000000001,MI2020
2,1538,PI601658,60,1241.35,59,1221.7,1,19.6499999999999,MI2020
1,1538,PI601658,65,1240.55,68,1306.95,-3,-66.4000000000001,MI2021
2,1538,PI601658,67,1282.8,68,1306.95,-1,-24.1500000000001,MI2021
1,1538,GetFrom2021file,64,1300.5,65,1325.5,-1,-25,NE2020
2,1538,GetFrom2021file,67,1373.5,68,1399,-1,-25.5,NE2020
1,1538,PI 601658,62,1261,62,1261,0,0,NE2021
2,1538,MN20_1114,64,1313,64,1313,0,0,NE2021
1,2369,PI601559,65,1364.9,69,1440.6,-4,-75.6999999999998,MI2020
2,2369,PI601559,65,1364.9,70,1462.2,-5,-97.3,MI2020
1,2369,PI601559,75,1458.25,78,1526.3,-3,-68.05,MI2021
2,2369,PI601559,83,1605.15,84,1625.4,-1,-20.25,MI2021
1,2369,GetFrom2021file,73,1533,76,1615,-3,-82,NE2020
2,2369,GetFrom2021file,76,1615,77,1640.5,-1,-25.5,NE2020
1,2369,PI 601559,71,1481,72,1505,-1,-24,NE2021
2,2369,MN20_1489,70,1454,75,1574.5,-5,-120.5,NE2021
1,4226,NSL30904,74,1433.9,75,1458.25,-1,-24.3499999999999,MI2021
